faithfulness,answer_relevancy,context_precision
0.6,0.0,0.99999999995
0.5454545454545454,0.0,0.0
0.7777777777777778,0.0,0.499999999975
1.0,0.289560376837358,0.8666666666377778
0.75,0.309858927723046,0.94999999997625
0.6,0.38902862998349375,0.8666666666377778
0.75,0.0,0.8055555555287036
0.5833333333333334,0.4398768079451792,0.99999999998
1.0,0.37908935037701263,0.8041666666465626
1.0,0.0,0.0
0.8888888888888888,0.0,0.0
0.9166666666666666,0.0,0.3333333333
1.0,0.468092539246581,0.99999999998
0.7857142857142857,0.0,0.9999999999666667
0.9090909090909091,0.46326107596615995,0.999999999975
1.0,0.5254226812912827,0.6999999999766667
1.0,0.5758945998911241,0.4499999999775
1.0,0.0,0.99999999998
1.0,0.848256831411789,0.8041666666465626
1.0,0.45233019110547057,0.7499999999625
