faithfulness,answer_relevancy,context_precision
0.9166666666666666,0.0,0.0
0.75,0.0,0.0
0.75,0.0,0.0
0.7777777777777778,0.0,0.8874999999778125
1.0,0.36907470370479434,0.999999999975
0.8,0.0,0.6791666666496875
0.8888888888888888,0.4376321890491433,0.8874999999778125
0.75,0.4477459075007962,0.99999999998
0.625,0.37790798869955733,0.19999999998
0.9,0.0,0.7555555555303703
0.9090909090909091,0.4503853698490431,0.0
1.0,0.5013154610914962,0.0
0.875,0.0,0.99999999998
1.0,0.38590692326560977,0.4166666666458333
0.9090909090909091,0.4088628475260277,0.8041666666465626
1.0,0.521750595205925,0.999999999975
1.0,0.5610128093404894,0.32499999998375
0.9166666666666666,0.4368340551834209,0.99999999998
1.0,0.4433846178494157,0.99999999998
0.5833333333333334,0.4595434678317401,0.6791666666496875
